Lk,Rl,x,y
0,1,0.0,5.919259e-07
0,1,1.0063107199787383e-09,5.919259e-07
0,1,2.030310719978806e-09,5.919259e-07
0,1,3.0543107199786967e-09,5.919259e-07
0,1,4.078310719978734e-09,5.919259e-07
0,1,5.102310719979048e-09,5.919259e-07
0,1,6.126310719979362e-09,5.919259e-07
0,1,7.150310719979676e-09,5.919259e-07
0,1,8.174310719979392e-09,5.919259e-07
0,1,9.198310719978859e-09,5.919259e-07
0,1,1e-08,5.919259e-07
0,1,1.000000999999999e-08,1.04547935e-05
0,1,1.000002999999997e-08,1.5386227e-05
0,1,1.00000999999999e-08,1.5386227e-05
0,1,1.0000103999999896e-08,5.52336e-06
0,1,1.0000111999999889e-08,5.919259e-07
0,1,1.0009499999998504e-08,5.919259e-07
0,1,1.0010000000000002e-08,5.919259e-07
0,3,0.0,6.075028e-07
0,3,1.0063107199787383e-09,6.075028e-07
0,3,2.030310719978806e-09,6.075028e-07
0,3,3.0543107199786967e-09,6.075028e-07
0,3,4.078310719978734e-09,6.075028e-07
0,3,5.102310719979048e-09,6.075028e-07
0,3,6.126310719979362e-09,6.075028e-07
0,3,7.150310719979676e-09,6.075028e-07
0,3,8.174310719979392e-09,6.075028e-07
0,3,9.198310719978859e-09,6.075028e-07
0,3,1e-08,6.075028e-07
0,3,1.000000999999999e-08,3.0958967e-05
0,3,1.000002999999997e-08,4.6134697e-05
0,3,1.00000999999999e-08,4.6134697e-05
0,3,1.0000103999999896e-08,1.5783235e-05
0,3,1.0000111999999889e-08,6.075028e-07
0,3,1.0009499999998504e-08,6.075028e-07
0,3,1.0010000000000002e-08,6.075028e-07
0,5,0.0,6.1071705e-07
0,5,1.0063107199787383e-09,6.1071705e-07
0,5,2.030310719978806e-09,6.1071705e-07
0,5,3.0543107199786967e-09,6.1071705e-07
0,5,4.078310719978734e-09,6.1071705e-07
0,5,5.102310719979048e-09,6.1071705e-07
0,5,6.126310719979362e-09,6.1071705e-07
0,5,7.150310719979676e-09,6.1071705e-07
